State,school_year,n_counties,mean_mmr_rate
AL,2019-20,67,0.9542328358208956
AL,2020-21,67,0.9478119402985075
AL,2021-22,67,0.9388985074626865
AL,2022-23,67,0.9370582089552238
AL,2024-25,67,0.9480686567164179
AZ,2017-18,15,0.9334666666666667
AZ,2018-19,15,0.9275333333333333
AZ,2019-20,15,0.9367333333333333
AZ,2020-21,15,0.9064666666666666
AZ,2021-22,15,0.8933333333333333
AZ,2022-23,15,0.8801333333333333
AZ,2023-24,15,0.8723333333333333
AZ,2024-25,15,0.8710666666666667
CA,2017-18,56,0.8820642857142857
CA,2018-19,57,0.8825105263157895
CA,2019-20,57,0.9556684210526316
CA,2020-21,57,0.9457596491228071
CA,2021-22,57,0.9541280701754385
CA,2022-23,57,0.9525842105263158
CA,2023-24,57,0.9507126315789474
CA,2024-25,57,0.9529680701754386
CO,2017-18,64,0.8623828125
CO,2018-19,61,0.862716393442623
CO,2019-20,64,0.8935078125
CO,2020-21,64,0.8726015625
CO,2021-22,64,0.8759125
CO,2022-23,64,0.86286875
CO,2023-24,64,0.880125
CO,2024-25,64,0.8827265625
CT,2017-18,8,0.9612499999999999
CT,2018-19,8,0.95975
CT,2019-20,8,0.9572499999999999
CT,2020-21,8,0.952375
CT,2021-22,8,0.954375
CT,2022-23,8,0.9724999999999999
CT,2023-24,8,0.97625
DC,2020-21,1,0.789
DC,2021-22,1,0.82
DC,2022-23,1,0.875
DC,2023-24,1,0.92
DC,2024-25,1,0.927
FL,2017-18,67,0.9496567164179104
FL,2018-19,67,0.9474179104477611
FL,2019-20,67,0.9454626865671641
FL,2020-21,67,0.943955223880597
FL,2021-22,67,0.9286567164179105
FL,2022-23,67,0.9199850746268657
FL,2023-24,67,0.9085074626865671
FL,2024-25,67,0.907
HI,2019-20,4,0.945825
HI,2021-22,4,0.89685
HI,2022-23,4,0.8099000000000001
HI,2023-24,4,0.73348225
HI,2024-25,4,0.7363
IA,2018-19,99,0.9314792017171717
IA,2020-21,99,0.9269736836363637
IA,2021-22,99,0.906198317979798
IA,2022-23,99,0.8980681434343434
IA,2023-24,99,0.8918763252525252
IA,2024-25,99,0.8823717927272727
ID,2017-18,44,0.865909090909091
ID,2018-19,44,0.8736363636363637
ID,2019-20,44,0.8772727272727273
ID,2020-21,44,0.8475
ID,2021-22,44,0.8234090909090909
ID,2022-23,44,0.7979545454545455
ID,2023-24,44,0.7959090909090909
ID,2024-25,44,0.7609090909090909
IL,2017-18,102,0.9811764705882353
IL,2018-19,102,0.9796372549019607
IL,2019-20,102,0.9708921568627451
IL,2020-21,102,0.9796960784313725
IL,2021-22,102,0.9740196078431372
IL,2022-23,102,0.9711960784313726
IL,2023-24,102,0.9692941176470588
IL,2024-25,102,0.9665686274509804
KS,2019-20,103,0.9366019417475728
KS,2020-21,103,0.9133980582524271
KS,2021-22,103,0.896504854368932
KS,2022-23,102,0.8903921568627451
KS,2023-24,101,0.8831683168316832
KS,2024-25,103,0.871604854368932
KY,2017-18,118,0.9275847457627119
KY,2018-19,120,0.931775
KY,2019-20,120,0.938875
KY,2020-21,119,0.8957478991596639
KY,2021-22,120,0.8858833333333334
KY,2022-23,120,0.9130416666666666
KY,2023-24,120,0.9108975
KY,2024-25,119,0.9117998985714286
MA,2017-18,14,0.9475
MA,2018-19,14,0.9607142857142857
MA,2019-20,14,0.9582857142857143
MA,2020-21,14,0.9418571428571428
MA,2021-22,14,0.9535
MA,2022-23,14,0.9497857142857142
MA,2023-24,14,0.952
MA,2024-25,14,0.9507142857142857
ME,2017-18,16,0.938575
ME,2018-19,16,0.93585
ME,2019-20,16,0.9357125
