County,mmr_rate,highlight
Abbeville,0.942,Other SC counties
Aiken,0.927,Other SC counties
Allendale,0.98,Other SC counties
Anderson,0.951,Other SC counties
Bamberg,0.977,Other SC counties
Barnwell,0.946,Other SC counties
Beaufort,0.952,Other SC counties
Berkeley,0.935,Other SC counties
Calhoun,0.957,Other SC counties
Charleston,0.92,Other SC counties
Cherokee,0.932,Other SC counties
Chester,0.965,Other SC counties
Chesterfield,0.973,Other SC counties
Clarendon,0.984,Other SC counties
Colleton,0.966,Other SC counties
Darlington,0.976,Other SC counties
Dillon,0.984,Other SC counties
Dorchester,0.951,Other SC counties
Edgefield,0.962,Other SC counties
Fairfield,0.894,"Lower coverage, no major outbreak"
Florence,0.969,Other SC counties
Georgetown,0.958,Other SC counties
Greenville,0.942,Other SC counties
Greenwood,0.963,Other SC counties
Hampton,0.981,Other SC counties
Horry,0.908,Other SC counties
Jasper,0.825,"Lower coverage, no major outbreak"
Kershaw,0.951,Other SC counties
Lancaster,0.942,Other SC counties
Laurens,0.96,Other SC counties
Lee,0.96,Other SC counties
Lexington,0.948,Other SC counties
McCormick,0.964,Other SC counties
Marion,0.986,Other SC counties
Marlboro,0.963,Other SC counties
Newberry,0.975,Other SC counties
Oconee,0.943,Other SC counties
Orangeburg,0.956,Other SC counties
Pickens,0.945,Other SC counties
Richland,0.913,Other SC counties
Saluda,0.97,Other SC counties
Spartanburg,0.9,Outbreak epicenter (Spartanburg)
Sumter,0.962,Other SC counties
Union,0.964,Other SC counties
Williamsburg,0.974,Other SC counties
York,0.936,Other SC counties
