"Reporting Area","Current MMWR Year","MMWR WEEK","Label","Current week","Current week, flag","Previous 52 week Max","Previous 52 weeks Max, flag","Cumulative YTD Current MMWR Year","Cumulative YTD Current MMWR Year, flag","Cumulative YTD Previous MMWR Year","Cumulative YTD Previous MMWR Year, flag","LOCATION1","LOCATION2","sort_order","geocode"
"US RESIDENTS","2022","1","Measles, Imported",,"-","2","-",,"-",,"-",,"US RESIDENTS","20220103991",
"NEW ENGLAND","2022","1","Measles, Imported",,"-","1","-",,"-",,"-",,"NEW ENGLAND","20220103992",
"CONNECTICUT","2022","1","Measles, Imported",,"-","1","-",,"-",,"-","CONNECTICUT",,"20220103993","POINT (-72.738288 41.575155)"
"MAINE","2022","1","Measles, Imported",,"-","0","-",,"-",,"-","MAINE",,"20220103994","POINT (-69.06137 45.117911)"
"MASSACHUSETTS","2022","1","Measles, Imported",,"-","0","-",,"-",,"-","MASSACHUSETTS",,"20220103995","POINT (-71.481104 42.151077)"
"NEW HAMPSHIRE","2022","1","Measles, Imported",,"-","0","-",,"-",,"-","NEW HAMPSHIRE",,"20220103996","POINT (-71.57139 43.680429)"
"RHODE ISLAND","2022","1","Measles, Imported",,"-","0","-",,"-",,"-","RHODE ISLAND",,"20220103997","POINT (-71.534637 41.572574)"
"VERMONT","2022","1","Measles, Imported",,"-","0","-",,"-",,"-","VERMONT",,"20220103998","POINT (-72.662695 44.075252)"
"MIDDLE ATLANTIC","2022","1","Measles, Imported",,"-","0","-",,"-",,"-",,"MIDDLE ATLANTIC","20220103999",
"NEW JERSEY","2022","1","Measles, Imported",,"-","0","-",,"-",,"-","NEW JERSEY",,"20220104000","POINT (-74.655514 40.110253)"
"NEW YORK","2022","1","Measles, Imported",,"-","0","-",,"-",,"-","NEW YORK",,"20220104001","POINT (-75.59655 42.921241)"
"NEW YORK CITY","2022","1","Measles, Imported",,"-","0","-",,"-",,"-","NEW YORK CITY",,"20220104002",
"PENNSYLVANIA","2022","1","Measles, Imported",,"-","0","-",,"-",,"-","PENNSYLVANIA",,"20220104003","POINT (-77.838886 40.896694)"
"EAST NORTH CENTRAL","2022","1","Measles, Imported",,"-","1","-",,"-",,"-",,"EAST NORTH CENTRAL","20220104004",
"ILLINOIS","2022","1","Measles, Imported",,"-","0","-",,"-",,"-","ILLINOIS",,"20220104005","POINT (-89.148632 40.124144)"
"INDIANA","2022","1","Measles, Imported",,"-","0","-",,"-",,"-","INDIANA",,"20220104006","POINT (-86.2818 39.919991)"
"MICHIGAN","2022","1","Measles, Imported",,"-","0","-",,"-",,"-","MICHIGAN",,"20220104007","POINT (-85.730977 44.874798)"
"OHIO","2022","1","Measles, Imported",,"-","0","-",,"-",,"-","OHIO",,"20220104008","POINT (-82.70936 40.415534)"
"WISCONSIN","2022","1","Measles, Imported",,"-","1","-",,"-",,"-","WISCONSIN",,"20220104009","POINT (-89.732969 44.639954)"
"WEST NORTH CENTRAL","2022","1","Measles, Imported",,"-","0","-",,"-",,"-",,"WEST NORTH CENTRAL","20220104010",
"IOWA","2022","1","Measles, Imported",,"-","0","-",,"-",,"-","IOWA",,"20220104011","POINT (-93.500061 42.074659)"
"KANSAS","2022","1","Measles, Imported",,"-","0","-",,"-",,"-","KANSAS",,"20220104012","POINT (-98.38018 38.484729)"
"MINNESOTA","2022","1","Measles, Imported",,"-","0","-",,"-",,"-","MINNESOTA",,"20220104013","POINT (-94.198308 46.349153)"
"MISSOURI","2022","1","Measles, Imported",,"-","0","-",,"-",,"-","MISSOURI",,"20220104014","POINT (-92.477244 38.3675)"
"NEBRASKA","2022","1","Measles, Imported",,"-","0","-",,"-",,"-","NEBRASKA",,"20220104015","POINT (-99.810595 41.527099)"
"NORTH DAKOTA","2022","1","Measles, Imported",,"-","0","-",,"-",,"-","NORTH DAKOTA",,"20220104016","POINT (-100.46931 47.446305)"
"SOUTH DAKOTA","2022","1","Measles, Imported",,"-","0","-",,"-",,"-","SOUTH DAKOTA",,"20220104017","POINT (-100.230491 44.43614)"
"SOUTH ATLANTIC","2022","1","Measles, Imported",,"-","1","-",,"-",,"-",,"SOUTH ATLANTIC","20220104018",
"DELAWARE","2022","1","Measles, Imported",,"-","0","-",,"-",,"-","DELAWARE",,"20220104019","POINT (-75.452394 38.994926)"
"DISTRICT OF COLUMBIA","2022","1","Measles, Imported",,"-","0","-",,"-",,"-","DISTRICT OF COLUMBIA",,"20220104020","POINT (-77.016275 38.904785)"
"FLORIDA","2022","1","Measles, Imported",,"-","0","-",,"-",,"-","FLORIDA",,"20220104021","POINT (-82.420978 28.260731)"
"GEORGIA","2022","1","Measles, Imported",,"-","0","-",,"-",,"-","GEORGIA",,"20220104022","POINT (-83.426574 32.638481)"
"MARYLAND","2022","1","Measles, Imported",,"-","0","-",,"-",,"-","MARYLAND",,"20220104023","POINT (-76.687282 38.946466)"
