State,Abbreviation,School Year(s) Available,Spatial Unit,Vaccination Type Provided,Age Group,Data Origins,Data Source or Link,State Immunization Requirements,Notes,Major Updates from Previous Iterations,Latest Date Accessed
Alaska,AK,2024-25,Health Region,2 MMR,5-6 years,Registry,"State of Alaska, Department of Health: https://www.muni.org/Departments/Assembly/SiteAssets/Pages/Public-Health-and-Safety-Committee/AK-Vaccination-Coverage-Q12025%20AHD.pdf","State of Alaska, Department of Health: https://health.alaska.gov/media/fvchcabr/alaska-school-and-child-care-immunizations-requirements-packet.pdf",Quarter 1 immunization registry data for 5-6 year olds. ,,46143
Alabama,AL,"2019-20 to 2022-23, and 2024-25",County ,2 MMR,Kindergarten,School Survey,Data was received via direct email request from Alabama Public Health. https://www.alabamapublichealth.gov/,Alabama Public Health: https://www.adph.org/immunization/assets/alimmrequirements.pdf,,,46113
Arkansas,AR,County-Level 2-Dose MMR Data not available.,,,,,,Arkansas Department of Health: https://healthy.arkansas.gov/wp-content/uploads/ImmunizationRequirements.pdf,,,
Arizona,AZ,2017-18 to 2024-25,County,2 MMR,Kindergarten,School Survey,Arizona Department of Health Services: https://apps.azdhs.gov/IDRREportStats,Arizona Department of Health Services: https://www.azdhs.gov/documents/preparedness/epidemiology-disease-control/immunization/school-childcare/school-immunization-requirements.pdf,,,46143
California,CA,2017-18 to 2024-25,County,2 MMR,Kindergarten,School Survey,California Department of Public Health: https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/School/tk-12-reports.aspx,California Department of Public Health: https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/School/tk-12-immunizations.aspx,,,46143
Colorado,CO,2017-18 to 2024-25,County,2 MMR,Kindergarten,School Survey,Colorado Department of Public Health and Environment: https://data-cdphe.opendata.arcgis.com/search?q=school%20and%20child%20care%20immunization%20data%20reporting,Colorado Department of Public Health & Environment: https://drive.google.com/file/d/1MJffRM-cSKyxv3_PdEXmqnN4fGQ60hmD/view,,,46143
Connecticut,CT,"2017-18 to 2023-24, 2024-25*",County-Like Unit,2 MMR,Kindergarten,School Survey,Connecticut Department of Public Health: https://data.ct.gov/Health-and-Human-Services/County-or-County-Equivalent-Immunizations-and-Exem/8kid-pp5k/about_data,Connecticut Public Health: https://portal.ct.gov/dph/-/media/dph/dph-2025/immunization/provider-page/pdfs/school-nurses/school-requirements/immunization-requirements-for-enrolled-students-in-connecticut-schools.pdf?rev=a450f3da4306402e9b9a12e3a5fd0fb8&hash=1B740465EBD703330AF00A65E11A7C07,,"In 2022, Connecticut began the process to adopt the State's nine planning regions as county-equivalent geographic units for the purposes of collecting, tabulating, and disseminating statistical data, replacing the eight counties. *The data from the 2024-2025 school year is the first to reflect this change.",46143
District of Columbia,DC,2020-21 to 2024-25,County,2 MMR,Kindergarten,School Survey,National Center for Immunization and Respiratory Diseases (NCIRD): https://data.cdc.gov/Vaccinations/Vaccination-Coverage-and-Exemptions-among-Kinderga/ijqb-a7ye/about_data,"Government of the District of Columbia, DC Health: https://dchealth.dc.gov/sites/default/files/dc/sites/doh/DCH_School%20Immunization%20Requirements%20Guide_v2_r11_.pdf",Data obtained from CDC VaxView for D.C.,,46143
Delaware,DE,County-Level 2-Dose MMR Data not available.,,,,,,Delaware Department of Education: https://education.delaware.gov/educators/whole-child-support/school-health-services/families/immunizations/,,,
Florida,FL,2017-18 to 2024-25,County,"4+ DTaP, 4+ IPV, 2 MMR, 3 HepB, 1 Tdap,  2+ VAR",Kindergarten,School Survey,Florida Health: https://www.floridahealth.gov/statistics-data/county-immunization-profiles/,Florida Health: https://www.floridahealth.gov/individual-family-health/immunization/parents-children-and-adolescents/,,,46054
Georgia,GA,County-Level 2-Dose MMR Data not available.,,,,,,Georgia Department of Public Health: https://dph.georgia.gov/schoolvaccines,,,
Hawaii,HI,"2019-20, 2021-22 to 2024-25",School,"1 - (Incomplete Immunizations). Required immunizations K-12: 4+ DTaP, 3+ Polio, 3 Hep B, 2 Hep A, 2 MMR, 2 Var.",K-12,School Survey,Hawaii State Department of Health: https://health.hawaii.gov/docd/resources/reports/immunization-examination-requirements/,Hawaii State Department of Health: https://health.hawaii.gov/docd/files/2019/10/Immunization-Requirements-Summary.pdf,"Previous Note: For Hawaii, (1- Incomplete Immunization) was used as a substitute for 2-dose MMR rates - as this is what is provided by the State of Hawaii. Incomplete immunizations includes religious exemptions, medical exemptions, and students with no immunization record or missing immunizations.  The source data is collected by the Department of Health using a random sample of public, private, and charter schools. For this study, school level data was aggregated to county-level using enrollment data.",,46143
Iowa,IA,"2018-19, 2020-21 to 2024-25",County,"4+ DTaP, 3+ Polio, 2 MMR, 3 Hep B, 2 VAR",Kindergarten,School Survey,State of Iowa: https://publications.iowa.gov/cgi/search/simple?q=Kindergarten+School+Summary+County&_action_search=Search&_action_search=Search&_order=bytitle&basic_srchtype=ALL&_satisfyall=ALL,Iowa Department of Health and Human Services: https://hhs.iowa.gov/media/15137/download?inline,"Vaccination data from Iowa counties includes the number of certificates of immunization provided per county, along with the total enrollment of students per county. The county-level vaccination coverage for Iowa is calculated as follows: [Number of Certificates of Immunization for a County] / [County Total Enrollment].",New data source for Iowa county-level 2-dose MMR data. Previous year data was updated according to the new data provided.,46143
Idaho,ID,2017-18 to 2024-25,County,2 MMR,Kindergarten,School Survey,Data was received via direct email request from Idaho Department of Health and Welfare: https://healthandwelfare.idaho.gov/,Idaho Department of Health and Welfare: https://publicdocuments.dhw.idaho.gov/WebLink/DocView.aspx?id=4923&dbid=0&repo=PUBLIC-DOCUMENTS&searchid=e79a8a4f-a27c-441a-9857-a1ee3e2f0f54,,New data source for Idaho county-level 2-dose MMR data. In the previous data county-level 2-dose MMR data was not available.,45962
Illinois,IL,2017-18 to 2024-25,County,Up-to-date Measles,Pre K-12,School Survey,Illinois Department of Public Health: https://dph.illinois.gov/topics-services/prevention-wellness/immunization/coverage-dashboards.html,Illinois Department of Public Health: https://dph.illinois.gov/topics-services/prevention-wellness/immunization/minimum-immunization-requirements.html,,New data source for Illinois county-level 2-dose MMR data. In the previous data Kindergarten or K-12 county-level 2-dose MMR data was listed as not available.,46143
Indiana,IN,2023-24 to 2024-25,School,2 MMR,Kindergarten,School Survey,Indiana Department of Health: https://hub.mph.in.gov/dataset/immunization-division-s-school-supplemental-dashboard,Indiana Department of Health: https://www.in.gov/health/files/2025-26-School-Immunization-Requirements.pdf,Data was aggregated from school-level to county-level using a weighted average [Summation for each school in a county: (School Enrollment Rate * School 2-dose MMR rate)] / [total county enrollment] derived from the  school-level MMR rates and enrollment information provided in the dataset.,New data source for Indiana county-level 2-dose MMR data. In the previous data county-level 2-dose MMR data was not available.,46143
Kansas,KS,2019-20 to 2024-25,County,2 MMR,Kindergarten,School Survey,Kansas Department of Health and Environment: https://www.kdhe.ks.gov/2016/Kindergarten-Immunization-Data,Kansas Department of Health and Environment: https://www.kdhe.ks.gov/DocumentCenter/View/21272/2025-2026-School-Requirement-K-12-PDF?bidId=,,,46143
Kentucky,KY,2017-18 to 2024-25,County,2 MMR,Kindergarten,School Survey,Kentucky Public Health: https://healthtracking.ky.gov/Topics/immunizations/Pages/childhood-immunizations.aspx,Kentucky Public Health: https://www.chfs.ky.gov/agencies/dph/dehp/imm/KYImmRequirements_SchoolAge.pdf,,,46143
Louisiana,LA,2024-25,County,2 MMR,Kindergarten,School Survey,Louisiana Department of Health: https://www.lafamiliesforvaccines.org/data,Louisiana Department of Health: https://ldh.la.gov/immunization-program/school-attendance-vaccine-requirements,,"New data source for Louisiana county-level 2-dose MMR data. Previous data was removed due to discrepancies in reporting style and vaccination type. For reference, previous data included county-level combined series data [4 DTaP, 3 Polio, 3 HepB, 2 MMR, 2 VAR, 1 Tdap, 1 MenACWY] for school years 2020-21 and 2021-22. Note: The 2020-21 and 2021-22 school year data is available in this dataset, with a (*) depicting that it is not comparable to later 2-dose MMR data due to the differing methodology.",46143
Massachusetts,MA,2017-18 to 2024-25,County,2 MMR,Kindergarten,School Survey,Mass.gov: https://www.mass.gov/info-details/school-immunizations#kindergarten-data-,Massachusetts Department of Public Health: https://www.mass.gov/info-details/school-immunizations#school-and-camp-requirements,,,46143
